username,blitz_points,bullet_points,total_points,average_points
FlameCandy,769,951,1720,52.12
vignesh18072005,260,293,553,46.08
The_Irish_Indian,265,400,665,41.56
SorryNoob69,221,263,484,40.33
Shriman_K,1318,1711,3029,39.86
The_Avalanche,1167,1366,2533,39.58
Atri_Chakraborty,1091,1506,2597,39.35
Shivam30,693,849,1542,38.55
Aakarsh_IND,1599,1786,3385,38.47
PiyushNarsikar,903,1043,1946,37.42
Saishravan190,862,1113,1975,35.27
zacker22,928,1145,2073,34.55
sai_12krish,959,1273,2232,32.82
mugeshb,84,174,258,32.25
adit_pushan,734,900,1634,31.42
Kqabi,494,510,1004,31.38
gmroh04,347,324,671,30.5
Champ_2004,281,314,595,29.75
Diablo2004,564,733,1297,29.48
amitansu70,633,665,1298,28.84
Spynemaster,164,116,280,28
thedaymaster,1114,1327,2441,27.43
BALAJIK,395,475,870,27.19
hiranilakshya4,636,627,1263,26.87
anidude30,251,337,588,26.73
neoslayer,26,0,26,26
Akshay_prakash,139,173,312,26
i_d_g_a_f,676,831,1507,25.98
bla_nk,137,94,231,25.67
saahilm,281,278,559,25.41
spynemaster278,235,243,478,25.16
rapidking1234,318,469,787,24.59
Jack1500,261,280,541,24.59
blithe55,129,239,368,24.53
Venkat_g,465,636,1101,24.47
YashhK,615,746,1361,24.3
Nizsaanth,345,383,728,24.27
Chessforfeel2,550,652,1202,24.04
SanjaykumarM2005,139,125,264,24
Aswin_rocky2021,59,85,144,24
ro1603,931,1199,2130,23.93
Subham06,113,216,329,23.5
SHTillu,218,274,492,23.43
Parth2003,192,225,417,23.17
Basneya,701,917,1618,23.11
JYNXX_13,225,283,508,23.09
Mihir22,652,734,1386,22.72
Trinav_01,174,210,384,22.59
yagyeshdubeyO,409,403,812,22.56
microbot,760,1127,1887,22.46
Alpha2608,603,762,1365,22.02
praneeth0503,548,720,1268,21.86
Abijeeth,147,159,306,21.86
saiteja2345,370,545,915,21.79
ssathyan2003sr,335,530,865,21.62
Sonit55,14,29,43,21.5
gidya123,578,666,1244,21.45
adrian_v_martin,647,937,1584,21.41
Pratham085,857,1155,2012,21.4
aryanj28,75,157,232,21.09
Anurag_1407,109,143,252,21
HARI_THE_GREAT,315,439,754,20.94
BladeBert,41,42,83,20.75
aakash2127,57,150,207,20.7
rajat1809,535,702,1237,20.62
SkyUnicorN,111,135,246,20.5
queena4,139,269,408,20.4
omkaar_1634,441,577,1018,20.36
Avalanche_Junior,0,20,20,20
warrior_op,643,956,1599,19.99
UsainBolt123,105,114,219,19.91
LakshmananWCA,234,218,452,19.65
Playharder,137,254,391,19.55
AdiTiwari32,802,1107,1909,19.48
Jebin05,116,117,233,19.42
adit_tiwari,328,350,678,19.37
Rahulk644,247,353,600,19.35
Aranjani,96,136,232,19.33
tejasvasanth,105,126,231,19.25
aashir25,218,356,574,19.13
White-ghoul,606,708,1314,19.04
prince_aravind,169,207,376,18.8
Rounik25,71,117,188,18.8
OG_Haffy,98,127,225,18.75
suhasKVK,88,99,187,18.7
Adhi241105,115,146,261,18.64
Chandra_13,410,474,884,18.42
Dharsan_Kumar_G,569,820,1389,18.28
DesiDaruu,73,144,217,18.08
tspabhishek,85,131,216,18
Mohit071,278,277,555,17.9
alainplays,91,123,214,17.83
Rithvikchow18,84,130,214,17.83
SoumyadityaDey,355,426,781,17.75
KamalPadmasri,96,117,213,17.75
Venkata_Charan,417,701,1118,17.75
I_Drago_I,94,154,248,17.71
Hars4444,726,933,1659,17.65
DixitAtVIT,233,347,580,17.58
NamanKumarSingh,93,117,210,17.5
krish_joshi,248,271,519,17.3
Br0jacK,434,632,1066,17.19
chirag_1603,344,410,754,17.14
Dracovishma,207,220,427,17.08
yagyeshdubey0,133,139,272,17
yagyesh_dubey01,285,394,679,16.98
Mangoland,216,360,576,16.94
AmanSingh1111,592,451,1043,16.82
Stormbreaker1220,590,890,1480,16.82
